Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-22.273746040100832,9.527290176787218,-3.6002572935978847,-40.94723478660378
DBP,-22.23269895725137,5.340049527652582,-11.76620188305231,-32.69919603145043
