,Pearson r,p-value
Real_SBP vs Estimated_SBP_AIx,-0.20466419887694048,0.4470438047793857
Real_DBP vs Estimated_DBP_AIx,-0.03623116475433919,0.8940262687168705
Real_SBP vs Estimated_SBP_AIx_Red,-0.1282823100122145,0.6358780512941065
Real_DBP vs Estimated_DBP_AIx_Red,-0.011613972151707994,0.96594985193628
