Estimated_SBP_AIx_Red,Estimated_DBP_AIx_Red
117.05984905328762,78.23590943197257
110.9123465214937,74.54740791289622
116.64001579268687,77.98400947561213
107.78790258874575,72.67274155324745
119.53307246783953,79.71984348070372
105.09570037421291,71.05742022452775
138.83171746695365,91.29903048017218
97.75486084304964,66.6529165058298
123.39575807093394,82.03745484256036
119.28399294952739,79.57039576971643
106.94479496940085,72.16687698164051
106.82599476831774,72.09559686099064
117.3331682712964,78.39990096277783
108.88040120992694,73.32824072595616
106.18964169190608,71.71378501514364
120.22493928273265,80.1349635696396
131.96119608497816,87.17671765098689
132.99289056313435,87.79573433788062
116.63259424348794,77.97955654609277
127.26322608979915,84.35793565387948
113.36066397968692,76.01639838781216
123.96591980653793,82.37955188392276
116.60235287634853,77.96141172580913
109.25516268819544,73.55309761291726
106.8504425012962,72.11026550077771
110.75803288817715,74.45481973290629
102.75288841961371,69.65173305176822
105.98235766916817,71.58941460150089
109.2578346789822,73.55470080738932
110.84697028196939,74.50818216918164
161.35108330729912,104.81064998437948
