Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,7.418392573959679,9.164372207278767,25.38056210022606,-10.543776952306704
DBP,25.342636473135272,4.395839481372957,33.958481856626264,16.726791089644276
