,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,-0.9410341312306852,0.017035539673200102,0.8699896655705857,1.209772969246933
Real_DBP vs Estimated_DBP_PPG,-0.54295649024231,0.3443406206808163,1.0061353073620354,1.0820287699736029
Real_SBP vs Estimated_SBP_PPW,-0.8738150760320009,0.05277755356665558,0.8755021177441279,1.2095236866491208
Real_DBP vs Estimated_DBP_PPW,-0.5341844226712298,0.3537512944273299,1.004790014006892,1.0818685961898802
Real_SBP vs Estimated_SBP_AIx,-0.3842567895824219,0.5230708032860775,33.58788990830937,36.37028928453302
Real_DBP vs Estimated_DBP_AIx,-0.2098635781383833,0.7347679772301764,6.976328445351314,10.981608933481677
Real_SBP vs Estimated_SBP_AIx_Red,0.3401820740220143,0.5753720731565778,36.479787190994905,36.896673723273736
Real_DBP vs Estimated_DBP_AIx_Red,0.696340730430689,0.19145601361534995,5.241190075739993,5.944953462488984
Real_SBP vs Estimated_SBP_Personalized,-0.9410341312306852,0.017035539673200102,0.8699896655705857,1.209772969246933
Real_DBP vs Estimated_DBP_Personalized,-0.54295649024231,0.3443406206808163,1.0061353073620354,1.0820287699736029
