,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,-0.11154539871702025,0.7299970636635342,1.5809964620283061,2.115628406652723
Real_DBP vs Estimated_DBP_PPG,0.19527300963477162,0.5430543511497862,2.5657373439601607,4.8019328359209394
Real_SBP vs Estimated_SBP_PPW,-0.10722459410839025,0.7401303859585652,1.5809964620283143,2.1145042889936305
Real_DBP vs Estimated_DBP_PPW,-0.04624813470361365,0.8865101869927705,2.6261399534201204,4.915224736334858
Real_SBP vs Estimated_SBP_AIx,0.02193187580405977,0.9460616245915343,15.603975408898984,15.730338116424136
Real_DBP vs Estimated_DBP_AIx,0.12300338360401777,0.7033202808080996,8.026440078135087,9.289676584413069
Real_SBP vs Estimated_SBP_AIx_Red,-0.3476852165832627,0.2681183235634188,20.598420647640246,21.434565001892878
Real_DBP vs Estimated_DBP_AIx_Red,-0.2256493262896153,0.4807049584404746,11.023107221379846,12.611295992019434
Real_SBP vs Estimated_SBP_Personalized,-0.11154539871702025,0.7299970636635342,1.5809964620283061,2.115628406652723
Real_DBP vs Estimated_DBP_Personalized,0.19527300963477162,0.5430543511497862,2.5657373439601607,4.8019328359209394
