Estimated_SBP_AIx_Red,Estimated_DBP_AIx_Red
101.02495676609665,68.614974059658
98.95440993877979,67.37264596326787
101.00599222046623,68.60359533227974
98.85590931599148,67.3135455895949
96.93282456445301,66.15969473867182
100.66731715419363,68.40039029251618
101.4072024258998,68.84432145553988
100.14650586306936,68.08790351784162
101.49116821271522,68.89470092762913
104.71019354596478,70.82611612757887
106.09735308176356,71.65841184905814
100.28691322689485,68.17214793613691
99.84760181879189,67.90856109127513
100.01641536051453,68.00984921630872
99.23199575380863,67.53919745228518
98.85411456089905,67.31246873653943
97.10830082036014,66.26498049221608
95.09737573680924,65.05842544208555
98.31966156306564,66.99179693783938
97.55041776267693,66.53025065760616
96.98285617497635,66.1897137049858
92.8113889616845,63.6868333770107
99.34505063411876,67.60703038047126
97.20092432524581,66.32055459514748
98.32091990826694,66.99255194496017
103.03119367637595,69.81871620582557
