,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.009902422030102886,0.9831899504513756,1.7436008127465519,2.186937584684727
Real_DBP vs Estimated_DBP_PPG,-0.2804338998410214,0.5424178726520932,2.8762012374774173,3.511109640972502
Real_SBP vs Estimated_SBP_PPW,0.009902422030102886,0.9831899504513756,1.7436008127465519,2.186937584684727
Real_DBP vs Estimated_DBP_PPW,-0.2804338998410214,0.5424178726520932,2.8762012374774173,3.511109640972502
Real_SBP vs Estimated_SBP_AIx,0.15146388378634904,0.745806231639587,67.64435991963255,84.12983131196276
Real_DBP vs Estimated_DBP_AIx,0.5013670290665659,0.2516646917124111,61.403520051291956,67.91543521540473
Real_SBP vs Estimated_SBP_AIx_Red,0.5340713838454556,0.21689976940690986,12.335902756590178,14.284171307177832
Real_DBP vs Estimated_DBP_AIx_Red,0.10295269083547343,0.8261468671979338,28.218445753466522,28.689633235757015
Real_SBP vs Estimated_SBP_Personalized,0.009902422030102886,0.9831899504513756,1.7436008127465519,2.186937584684727
Real_DBP vs Estimated_DBP_Personalized,-0.2804338998410214,0.5424178726520932,2.8762012374774173,3.511109640972502
