,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.023231595281745912,0.9225535019401134,2.2538896794181285,2.9062604938087477
Real_DBP vs Estimated_DBP_PPG,0.09214711971962444,0.6992124993359399,1.0003555829343864,1.1740465856069804
Real_SBP vs Estimated_SBP_PPW,0.3603450552434223,0.11859063270893708,2.2320142861874936,2.8852495678364947
Real_DBP vs Estimated_DBP_PPW,-0.09688601390049019,0.6844879638568304,1.0070969538338201,1.192930123925505
Real_SBP vs Estimated_SBP_AIx,0.26623522524475224,0.25654139144958804,3.074382346402325,3.462657187709262
Real_DBP vs Estimated_DBP_AIx,0.48415077301915677,0.030532032364517094,11.82153247603242,11.866512682951546
Real_SBP vs Estimated_SBP_AIx_Red,0.174936306766105,0.4607076194272149,8.26863746600122,9.82062644787034
Real_DBP vs Estimated_DBP_AIx_Red,0.1309792342369058,0.582030689815124,14.560176722472914,15.189151235862928
Real_SBP vs Estimated_SBP_Personalized,0.023231595281745912,0.9225535019401134,2.2538896794181285,2.9062604938087477
Real_DBP vs Estimated_DBP_Personalized,0.09214711971962444,0.6992124993359399,1.0003555829343864,1.1740465856069804
