Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,2.0256422744550258,2.817475800166063,7.54789484278051,-3.4966102938704577
DBP,11.818523418282929,1.0272746282370164,13.831981689627481,9.805065146938377
