Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,2.341600142444177,12.750658354231126,27.33289051673718,-22.64969023184883
DBP,-0.08760110326767112,8.430423598763394,16.436029150308578,-16.611231356843923
