,Pearson r,p-value
SBP_PPG vs SBP_PPW,0.9544746272200627,0.011580464817806065
SBP_PPG vs SBP_AIx,0.1746413633685807,0.7787752551881691
SBP_PPW vs SBP_AIx,0.4006427346021964,0.5038816554717832
DBP_PPG vs DBP_PPW,0.9544746272200625,0.011580464817806236
DBP_PPG vs DBP_AIx,0.17464136336858438,0.7787752551881645
DBP_PPW vs DBP_AIx,0.4006427346022009,0.503881655471778
