,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.2147862490138912,0.3631486954727022,2.898985226530121,3.4050156366815085
Real_DBP vs Estimated_DBP_PPG,0.09871014223065577,0.6788488378743224,2.5050580619951077,2.88260296632622
Real_SBP vs Estimated_SBP_PPW,0.2368812631018001,0.3146275114916698,2.8771373629403874,3.387460013871782
Real_DBP vs Estimated_DBP_PPW,0.1458388206911856,0.5395391300655393,2.4883729138535724,2.868398372478562
Real_SBP vs Estimated_SBP_AIx,0.32118384482099577,0.16734002691738503,4.231344615872792,5.090931856780329
Real_DBP vs Estimated_DBP_AIx,0.3320755772018169,0.1525931624150045,2.4746894124619554,2.9139269648906034
Real_SBP vs Estimated_SBP_AIx_Red,0.07457923030390018,0.7546695696596237,4.102311687746504,4.847697883082285
Real_DBP vs Estimated_DBP_AIx_Red,0.2566354109209622,0.2747316689066852,3.705748061823377,4.631283143260672
