,Pearson r,p-value
Real_SBP vs Estimated_SBP_AIx,0.18901608529311817,0.42480634727323485
Real_DBP vs Estimated_DBP_AIx,0.20958246717246598,0.37516608193742784
Real_SBP vs Estimated_SBP_AIx_Red,0.09357737232859899,0.6947572800642139
Real_DBP vs Estimated_DBP_AIx_Red,0.22323250162401875,0.3441191620215788
