,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.3539256397250039,0.12578510611770408,1.67866912105626,2.1239462891631495
Real_DBP vs Estimated_DBP_PPG,0.26826894265391615,0.2527883868950797,0.9748752577714367,1.2339343041683184
Real_SBP vs Estimated_SBP_PPW,0.35084350673790965,0.12934749357304395,1.6786691210562616,2.1283031206379794
Real_DBP vs Estimated_DBP_PPW,0.26697464675603144,0.25517280290214445,0.963130498212383,1.2349001727791156
Real_SBP vs Estimated_SBP_AIx,0.08569247816002361,0.7194347221752426,18.873731044007098,19.062653235702864
Real_DBP vs Estimated_DBP_AIx,0.02495613878242614,0.9168228591614945,6.150790148092381,6.353098141407404
Real_SBP vs Estimated_SBP_AIx_Red,0.25805993300786106,0.27198286252152215,14.235589164151511,15.315139362170324
Real_DBP vs Estimated_DBP_AIx_Red,-0.189030084347368,0.4247714142267156,9.042077333437874,9.966363993839849
