Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-18.873402543797972,2.6824022703536534,-13.615894093904812,-24.13091099369113
DBP,6.150987248217859,1.5969493897534646,9.28100805213465,3.020966444301069
