Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,3.848727225516574,5.780527895046599,15.178561899807908,-7.481107448774759
DBP,14.076597816327896,3.7964789487915263,21.517696555959287,6.6354990766965045
