,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.41360200801437075,0.4149737369602925,3.0086747749284584,4.107398772514569
Real_DBP vs Estimated_DBP_PPG,0.4120311178719934,0.4169285108985435,1.9063152127566145,2.3068460360812493
Real_SBP vs Estimated_SBP_PPW,0.4618915255956198,0.3564335539440999,3.0086747749284606,4.097290776871745
Real_DBP vs Estimated_DBP_PPW,0.4524505527255134,0.36763508717599075,1.8825249820564782,2.293976716071621
Real_SBP vs Estimated_SBP_AIx,-0.2933072297061982,0.5726556384842191,6.226633481913159,6.892268754008942
Real_DBP vs Estimated_DBP_AIx,-0.44797294181851516,0.3729901377363338,14.017164646248418,14.522746807075588
Real_SBP vs Estimated_SBP_AIx_Red,-0.3477152095360333,0.49944759012500606,10.68871554559396,14.668994415807616
Real_DBP vs Estimated_DBP_AIx_Red,-0.44957425252394356,0.3710719227307632,13.084225321980265,13.771426433368608
Real_SBP vs Estimated_SBP_Personalized,0.41360200801437075,0.4149737369602925,3.0086747749284584,4.107398772514569
Real_DBP vs Estimated_DBP_Personalized,0.4120311178719934,0.4169285108985435,1.9063152127566145,2.3068460360812493
