Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-40.338351797514235,1.8491679568133648,-36.713982602160044,-43.96272099286843
DBP,-25.71610937137245,1.0553483965158046,-23.647626514201473,-27.784592228543428
