SBP_PPG,DBP_PPG,SBP_PPW,DBP_PPW,SBP_AIx,DBP_AIx
128.9633863547792,105.17338771910534,128.9633863547792,105.17338771910534,96.56130386849469,63.52703351817448
128.89285211615353,105.04210808306595,128.89285211615353,105.04210808306595,96.04608219243784,63.206451141961324
129.01040918052968,105.26090747646492,129.01040918052968,105.26090747646492,108.79038976852047,71.13624252263496
128.77529505177736,104.82330868966699,128.75178363890214,104.7795488109872,115.16216551539391,75.1009029873562
129.08094341915535,105.39218711250429,129.10445483203057,105.43594699118408,108.57049057822425,70.99941635978398
128.82231787752784,104.91082844702657,128.84582929040306,104.95458832570637,107.77822441238018,70.506450745481
129.1044548320306,105.43594699118408,129.08094341915535,105.3921871125043,99.25852342704019,65.2053034657139
128.7988064646526,104.86706856834678,128.82231787752784,104.91082844702657,104.01893710005866,68.1673386400365
128.91636352902876,105.08586796174575,128.89285211615353,105.04210808306595,100.88679297159432,66.21844896010313
128.634226574526,104.56074941758823,128.65773798740122,104.60450929626802,104.86531579220429,68.69397427070489
