,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,-0.09607107745436337,0.7917734621785002,1.4205870211330578,1.613248199241973
Real_DBP vs Estimated_DBP_PPG,0.11119361746520323,0.7597490928991228,1.4120657759640962,1.615916767336896
Real_SBP vs Estimated_SBP_PPW,-0.028443230356942264,0.93783074587386,1.4135335972704879,1.6040826494705183
Real_DBP vs Estimated_DBP_PPW,0.17184992975260238,0.634984813016044,1.3989378123601597,1.6003436808849627
Real_SBP vs Estimated_SBP_AIx,-0.20484545635631568,0.5702348875612016,24.393730795765407,25.186698410740767
Real_DBP vs Estimated_DBP_AIx,0.06326273300756559,0.8621652925346919,36.74179885688331,36.942040451955044
Real_SBP vs Estimated_SBP_AIx_Red,0.09129063065988113,0.801957721003353,24.532931572549312,28.465161977161557
Real_DBP vs Estimated_DBP_AIx_Red,0.1546708770453769,0.6696361311863228,23.68820671474824,28.354120959774583
