,Pearson r,p-value
Real_SBP vs Estimated_SBP_AIx,-0.20484545635631568,0.5702348875612016
Real_DBP vs Estimated_DBP_AIx,0.06326273300756559,0.8621652925346919
Real_SBP vs Estimated_SBP_AIx_Red,0.09129063065988113,0.801957721003353
Real_DBP vs Estimated_DBP_AIx_Red,0.1546708770453769,0.6696361311863228
