Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-24.101910300414016,6.854905698233742,-10.66629513187588,-37.537525468952154
DBP,-37.810746180248415,4.1129434189402465,-29.74937707912553,-45.8721152813713
