Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-26.208131736041786,9.470883723001455,-7.645199638958935,-44.771063833124636
DBP,-25.662755612716854,6.449877308195185,-13.020996088654291,-38.304515136779415
