,Pearson r,p-value
SBP_PPG vs SBP_PPW,-0.5103760020746423,0.16035165270373716
SBP_PPG vs SBP_AIx,-0.4977584950301523,0.172703422575306
SBP_PPG vs SBP_AIx_Red,0.15332758959277412,0.6936984556896916
SBP_PPW vs SBP_AIx,0.42676259982561243,0.2519805715892768
SBP_PPW vs SBP_AIx_Red,-0.34848473529933577,0.3580495042486344
SBP_AIx vs SBP_AIx_Red,0.5056443156234252,0.1649219787593752
DBP_PPG vs DBP_PPW,-0.5103760020746424,0.16035165270373677
DBP_PPG vs DBP_AIx,-0.4977584950301525,0.17270342257530572
DBP_PPG vs DBP_AIx_Red,0.15332758959277457,0.6936984556896911
DBP_PPW vs DBP_AIx,0.42676259982561227,0.2519805715892768
DBP_PPW vs DBP_AIx_Red,-0.34848473529933616,0.35804950424863385
DBP_AIx vs DBP_AIx_Red,0.505644315623425,0.1649219787593755
