Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-0.844492960591043,2.075528269199003,3.2235424470390024,-4.912528368221088
DBP,0.8589745639893756,2.0019869791971407,4.782869043215771,-3.06491991523702
