Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-13.084205289183325,7.148594379618301,0.9270396948685455,-27.095450273235194
DBP,1.8172043880183133,3.223137600756107,8.134554085500282,-4.500145309463656
