,Pearson r,p-value
SBP_PPG vs SBP_PPW,1.0,1.0
SBP_PPG vs SBP_AIx,-1.0,1.0
SBP_PPW vs SBP_AIx,-1.0,1.0
DBP_PPG vs DBP_PPW,1.0,1.0
DBP_PPG vs DBP_AIx,-1.0,1.0
DBP_PPW vs DBP_AIx,-1.0,1.0
