Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,9.278634803719035,8.89831756222028,26.719337225670785,-8.162067618232713
DBP,15.461379441149905,6.352337535938867,27.911961011590083,3.0107978707097267
