Estimated_SBP_AIx_Red,Estimated_DBP_AIx_Red
115.54599641084657,77.32759784650794
123.53287155357086,82.11972293214251
101.57994503435631,68.94796702061379
102.76701911462688,69.66021146877613
104.43395931566172,70.66037558939703
103.75089881249235,70.25053928749541
108.06914141722729,72.84148485033637
112.90574438239338,75.74344662943602
121.95142265961081,81.17085359576649
104.55221783738126,70.73133070242875
116.15679637705337,77.69407782623202
123.70971810492594,82.22583086295556
95.49444670252079,65.29666802151247
116.34982129584357,77.80989277750614
112.98397605632422,75.79038563379453
120.16577568156913,80.09946540894147
112.4715127195154,75.48290763170924
95.61477873793712,65.36886724276228
112.97134006706919,75.78280404024152
110.69599420892612,74.41759652535568
103.36917135093637,70.02150281056183
109.0095713721096,73.40574282326575
103.11538188183776,69.86922912910266
95.33378557538418,65.2002713452305
96.50920881235301,65.9055252874118
115.12574282290755,77.07544569374453
134.7096965871954,88.82581795231724
108.5741583275195,73.1444949965117
130.85441686921018,86.51265012152611
114.58057795028,76.748346770168
108.24584158083147,72.94750494849887
113.41436426678429,76.04861856007058
111.95026947153085,75.17016168291852
108.23296129982475,72.93977677989486
105.19198521709194,71.11519113025517
94.06204874323355,64.43722924594013
107.63025108161034,72.57815064896621
106.74883066944932,72.04929840166959
