Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-30.189213262460598,1.2076896070351142,-27.822141632671773,-32.55628489224942
DBP,-21.00242795747635,0.724613764221068,-19.582184979603056,-22.422670935349643
