,Pearson r,p-value
SBP_PPG vs SBP_PPW,-0.5289107517511815,0.0054679133944252785
SBP_PPG vs SBP_AIx,-0.42101727584743937,0.03220225956905262
SBP_PPW vs SBP_AIx,0.09425430490670966,0.6469597758312775
DBP_PPG vs DBP_PPW,-0.5289107517511816,0.0054679133944252785
DBP_PPG vs DBP_AIx,-0.42101727584743937,0.03220225956905262
DBP_PPW vs DBP_AIx,0.0942543049067098,0.6469597758312775
