,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.14733576472083393,0.5353388091099888,8.332216127292337,9.271705816530845
Real_DBP vs Estimated_DBP_PPG,0.5920780821036996,0.005952931500156031,8.882171479234088,9.636380096100279
Real_SBP vs Estimated_SBP_PPW,0.16104243761850623,0.4975950776704753,8.132216127292319,9.089697513202346
Real_DBP vs Estimated_DBP_PPW,0.5851808668669718,0.006719238788729409,9.0321714792341,9.784525838342608
Real_SBP vs Estimated_SBP_AIx,-0.07474404659262485,0.7541433995562077,5.094512828749877,6.331452938073811
Real_DBP vs Estimated_DBP_AIx,0.12084495403169511,0.6118017163072318,17.555887639439668,18.142924196938473
Real_SBP vs Estimated_SBP_AIx_Red,0.41610705892451544,0.06802423598784928,5.435295694180358,7.300328458600726
Real_DBP vs Estimated_DBP_AIx_Red,0.6319921889961806,0.0027948522476404602,19.69848269122307,20.0172519730475
