Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,1.0796786650675663,6.238717038561808,13.30756406064871,-11.148206730513577
DBP,17.555887639439668,4.577827826297632,26.528430178983026,8.58334509989631
