,Pearson r,p-value
SBP_PPG vs SBP_PPW,-0.006670350241431086,0.9715908936618547
SBP_PPG vs SBP_AIx,0.28445513105756537,0.1209177802458714
SBP_PPW vs SBP_AIx,0.044776326787835496,0.810966896865556
DBP_PPG vs DBP_PPW,-0.006670350241430688,0.9715908936618562
DBP_PPG vs DBP_AIx,0.28445513105756604,0.12091778024587055
DBP_PPW vs DBP_AIx,0.0447763267878351,0.8109668968655593
