,Pearson r,p-value
SBP_PPG vs SBP_PPW,-0.06788914657778945,0.6094216710772435
SBP_PPG vs SBP_AIx,0.03403215695955841,0.7980381053321963
SBP_PPW vs SBP_AIx,-0.0137826073816764,0.9174820525239209
DBP_PPG vs DBP_PPW,-0.06788914657778931,0.609421671077249
DBP_PPG vs DBP_AIx,0.03403215695955844,0.7980381053321963
DBP_PPW vs DBP_AIx,-0.013782607381676455,0.9174820525239209
