,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.6480891426617204,0.35191085733827965,5.350698773012795,5.9833429582909
Real_DBP vs Estimated_DBP_PPG,0.2958487801374639,0.7041512198625361,2.514118347324782,2.5736196879060524
Real_SBP vs Estimated_SBP_PPW,0.20768581009265857,0.7923141899073414,8.4629035842948,9.27305970702998
Real_DBP vs Estimated_DBP_PPW,-0.27339881252400056,0.7266011874759994,3.001310441616667,3.1064138556872085
Real_SBP vs Estimated_SBP_AIx,0.49881492790215354,0.5011850720978464,61.002544866412286,61.71088391351521
Real_DBP vs Estimated_DBP_AIx,0.85928154439749,0.14071845560251006,15.896475772156776,16.41570910745039
Real_SBP vs Estimated_SBP_AIx_Red,-0.1335611414528004,0.8664388585471996,74.9946101021413,75.59695306398734
Real_DBP vs Estimated_DBP_AIx_Red,0.13115429406655,0.86884570593345,24.291714913594184,24.546845434996627
Real_SBP vs Estimated_SBP_Personalized,0.6480891426617204,0.35191085733827965,5.350698773012795,5.9833429582909
Real_DBP vs Estimated_DBP_Personalized,0.2958487801374639,0.7041512198625361,2.514118347324782,2.5736196879060524
