Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-67.51106176860802,15.510245612389035,-37.11098036832551,-97.91114316889053
DBP,-16.372310415088705,3.8057406167709904,-8.913058806217563,-23.831562023959847
