Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-14.664249041083394,0.0,-14.664249041083394,-14.664249041083394
DBP,-5.907381620057322,0.0,-5.907381620057322,-5.907381620057322
