SBP_PPG,DBP_PPG,SBP_PPW,DBP_PPW,SBP_AIx,DBP_AIx
92.59930899630072,64.0181951446005,92.59930899630072,64.0181951446005,103.2142347680778,69.92854086084668
92.07001583149078,63.53827326424745,92.07001583149078,63.53827326424745,102.97904943909458,69.78742966345675
93.12860216111066,64.49811702495356,92.59930899630072,64.0181951446005,101.59611605843094,68.95766963505856
92.59930899630072,64.0181951446005,92.59930899630072,64.0181951446005,101.22141979122256,68.73285187473353
93.6578953259206,64.9780389053066,93.12860216111066,64.49811702495356,98.42737206780816,67.0564232406849
93.12860216111062,64.4981170249535,93.65789532592058,64.97803890530659,99.29475773307843,67.57685463984706
92.07001583149082,63.538273264247486,92.07001583149082,63.538273264247486,100.0394423415823,68.02366540494938
92.59930899630073,64.01819514460053,92.59930899630073,64.01819514460053,101.57591693814562,68.94555016288737
91.54072266668089,63.058351383894454,91.01142950187098,62.57842950354142,104.26482086155302,70.55889251693182
92.07001583149072,63.5382732642474,92.07001583149072,63.5382732642474,100.99914407656675,68.59948644594006
93.65789532592058,64.97803890530659,93.65789532592058,64.97803890530659,97.67060148556133,66.6023608913368
93.12860216111066,64.49811702495356,93.65789532592058,64.97803890530659,100.35785449624566,68.21471269774739
87.83567051301135,59.69889822142315,89.95284317225114,61.61858574283536,100.37983717146732,68.22790230288038
89.95284317225114,61.61858574283536,91.54072266668081,63.05835138389437,101.34242007806219,68.80545204683732
