Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-12.711311775246994,2.85535294388111,-7.114820005240018,-18.307803545253968
DBP,-7.12002024083547,2.482678662195019,-2.2539700629332327,-11.986070418737707
