,Pearson r,p-value
SBP_PPG vs SBP_PPW,0.6767529681839412,0.32324703181605896
SBP_PPG vs SBP_AIx,-0.4208952875637846,0.5791047124362154
SBP_PPW vs SBP_AIx,-0.17436626801638702,0.8256337319836129
DBP_PPG vs DBP_PPW,0.6767529681839413,0.32324703181605874
DBP_PPG vs DBP_AIx,-0.42089528756378297,0.579104712436217
DBP_PPW vs DBP_AIx,-0.17436626801638458,0.8256337319836153
