Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-7.730088591404723,2.7821758955159255,-2.277023836193509,-13.183153346615937
DBP,1.2458108070522762,1.8942856283336906,4.958610638586309,-2.4669890244817574
