,Pearson r,p-value,MAE,RMSE
Real_SBP vs Estimated_SBP_PPG,0.16404687132528611,0.543787866008796,2.725737268553279,3.051205385276327
Real_DBP vs Estimated_DBP_PPG,0.10894459709235178,0.6879577678945866,1.9889507498280747,2.5260542972156115
Real_SBP vs Estimated_SBP_PPW,0.23276382793358294,0.385648183403354,2.6707003977326673,3.014421310287854
Real_DBP vs Estimated_DBP_PPW,0.20770594233566578,0.4401703345007801,1.9589223882238262,2.4971830680351306
Real_SBP vs Estimated_SBP_AIx,-0.0010051666311867713,0.9970522370176864,29.2191059897464,29.435583688864593
Real_DBP vs Estimated_DBP_AIx,0.032947096042125534,0.9035882054863668,3.176063008575969,4.00214774515532
Real_SBP vs Estimated_SBP_AIx_Red,0.12115161204822786,0.6549119834731978,23.253549532737022,23.85812258472562
Real_DBP vs Estimated_DBP_AIx_Red,-0.017003820568864486,0.9501631263733389,6.664803059995698,7.5649245062848465
Real_SBP vs Estimated_SBP_Personalized,0.16404687132528611,0.543787866008796,2.725737268553279,3.051205385276327
Real_DBP vs Estimated_DBP_Personalized,0.10894459709235178,0.6879577678945866,1.9889507498280747,2.5260542972156115
