,Pearson r,p-value
Real_SBP vs Estimated_SBP_AIx,-0.022144035313302925,0.9305009909600992
Real_DBP vs Estimated_DBP_AIx,-0.007389417298043294,0.9767847448551644
Real_SBP vs Estimated_SBP_AIx_Red,0.13550701155965128,0.5918771911172057
Real_DBP vs Estimated_DBP_AIx_Red,0.03205219504271834,0.8995300950797949
