Parameter,Mean Difference (MD),Standard Deviation (SD),Upper Limit (MD + 1.96*SD),Lower Limit (MD - 1.96*SD)
SBP,-29.04598660730948,3.425689781754908,-22.33163463506986,-35.7603385795491
DBP,3.173435570028601,2.6594769021455704,8.38601029823392,-2.039139158176717
